Exploding Kitten,Attack,Skip,Favor,Shuffle,See-The-Future,Draw-From-Bottom,Defuse,Taco,Watermelon,Potato,Beard,Rainbow,Last Card Played Index,Cards in Deck,Attack Winrate,Skip Winrate,Favor Winrate,Shuffle Winrate,See-The-Future Winrate,Draw-From-Bottom Winrate,Defuse Winrate,Taco Winrate,Watermelon Winrate,Potato Winrate,Beard Winrate,Rainbow Winrate,Draw Winrate
0,0,0,1,0,0,0,2,0,1,0,2,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,2,0,0,1,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,2,1,0,1,2,3,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
0,0,0,0,0,0,0,3,2,1,0,1,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,3,0,1,0,1,2,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0
0,0,0,1,0,0,0,3,2,1,0,1,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,1,1,1,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,1,0,1,1,1,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,3,0,1,0,1,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,3,0,1,0,1,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,3,0,1,1,1,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,3,2,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,3,0,1,1,1,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,1,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,1,2,1,0,1,1,7,2,0,0,0.7368421052631579,0,0,0,0,0.0,0,0,0,0,1.0
0,0,0,1,0,0,0,1,2,1,0,1,1,4,1,0,0,0.05539772727272727,0,0,0,0,0.060991105463786534,0,0,0,0,0.04674457429048414
0,0,0,1,0,0,0,1,2,1,0,1,1,2,2,0,0,0.0,0,0,0,0,0.9,0,0,0,0,0.6666666666666666
0,0,0,1,0,0,0,1,2,1,0,1,1,1,2,0,0,0.3333333333333333,0,0,0,0,0.9,0,0,0,0,0.0
0,0,0,1,0,0,0,1,2,1,0,1,1,2,2,0,0,0,0,0,0,0.9354838709677419,0,0,0,0,0,0
0,0,0,1,0,0,0,1,0,1,0,1,2,8,2,0,0,0.16666666666666666,0,0,0,0,0,0,0,0,0.13333333333333333,0.125
0,0,0,0,1,0,0,1,2,1,0,1,1,3,2,0,0,0,0.5555555555555556,0,0,0,0.0,0,0,0,0,0.07692307692307693
0,0,0,1,0,0,0,1,2,1,0,1,1,1,2,0,0,0,0,0,0,0.6956521739130435,0,0,0,0,0,0
0,0,0,1,0,0,0,1,0,2,0,1,1,8,2,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.3333333333333333
0,0,0,0,1,0,0,1,2,1,0,1,1,3,2,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0.0
0,0,0,1,0,0,0,2,0,1,0,1,1,7,1,0,0,0.07544910179640718,0,0,0,0,0,0,0,0,0,0.04940711462450593
0,1,1,0,0,0,0,1,0,1,1,1,1,4,2,0.5454545454545454,0.21428571428571427,0,0,0,0,0,0,0,0,0,0,0.16666666666666666
0,0,0,1,0,0,0,2,0,1,0,1,1,2,2,0,0,0.6875,0,0,0,0,0,0,0,0,0,0.8
0,0,0,1,0,0,0,2,0,1,0,1,1,1,2,0,0,0.25,0,0,0,0,0,0,0,0,0,0.7142857142857143
0,1,1,0,1,0,0,1,0,1,1,0,1,7,2,0.6923076923076923,0.32653061224489793,0,0.52,0,0,0,0,0,0,0,0,0.05413105413105413
0,0,1,0,0,0,0,3,0,1,0,0,1,11,2,0,0,0,0,0,0,0.8976190476190476,0,0,0,0,0,0
0,1,0,0,1,0,0,1,0,1,1,0,1,2,2,1.0,0,0,0.95578231292517,0,0,0,0,0,0,0,0,0.42857142857142855
0,1,1,0,1,0,0,2,0,1,1,0,1,7,2,0,0,0,0,0,0,0.4318181818181818,0,0,0,0,0,0
0,1,1,0,0,0,0,2,0,1,1,0,1,4,2,0.3877551020408163,0.4838709677419355,0,0,0,0,0,0,0,0,0,0,0.061653116531165314
0,0,0,0,0,0,0,1,2,1,0,2,1,2,2,0,0,0,0,0,0,0,0.21495327102803738,0,0,0.20224719101123595,0,0.10416666666666667
0,0,0,0,0,0,0,1,2,1,0,2,1,1,2,0,0,0,0,0,0,0,0.08333333333333333,0,0,0.37209302325581395,0,0.3333333333333333
0,1,1,0,1,0,0,1,0,1,1,0,1,7,2,0.875,0.16339869281045752,0,0.673469387755102,0,0,0,0,0,0,0,0,0.06216696269982238
0,0,0,0,0,0,0,3,0,1,1,0,1,8,2,0,0,0,0,0,0,0.9308641975308642,0,0,0,0,0,0
0,1,1,0,1,0,0,1,0,1,1,0,1,7,2,0.625,0.41935483870967744,0,0.375,0,0,0,0,0,0,0,0,0.054455445544554455
0,0,0,0,0,0,0,3,0,2,0,0,1,11,2,0,0,0,0,0,0,0.88,0,0,0,0,0,0
0,0,0,0,0,0,0,3,0,0,1,0,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0880503144654088
